reverse_num,reverse_rate,organism_num,organism_rate
999,6.88188188188188,999,6.88188188188188
999,6.88288288288288,999,6.88288288288288
999,6.88388388388388,999,6.88388388388388
999,6.89089089089089,999,6.89089089089089
999,6.88488488488488,999,6.88488488488488
999,6.8958958958959,999,6.8958958958959
999,6.9019019019019,999,6.9019019019019
999,6.9049049049049,999,6.9049049049049
999,6.90690690690691,999,6.90690690690691
999,6.90590590590591,999,6.90590590590591
999,6.91691691691692,999,6.91691691691692
999,6.91491491491491,999,6.91491491491491
999,6.90690690690691,999,6.90690690690691
999,6.90890890890891,999,6.90890890890891
999,6.91291291291291,999,6.91291291291291
999,6.91291291291291,999,6.91291291291291
999,6.91391391391391,999,6.91391391391391
999,6.92192192192192,999,6.92192192192192
999,6.90690690690691,999,6.90690690690691
999,6.90590590590591,999,6.90590590590591
999,6.90890890890891,999,6.90890890890891
999,6.90790790790791,999,6.90790790790791
999,6.9039039039039,999,6.9039039039039
999,6.9039039039039,999,6.9039039039039
999,6.91691691691692,999,6.91691691691692
999,6.92592592592593,999,6.92592592592593
999,6.92292292292292,999,6.92292292292292
999,6.92092092092092,999,6.92092092092092
999,6.91891891891892,999,6.91891891891892
999,6.92192192192192,999,6.92192192192192
999,6.91491491491491,999,6.91491491491491
999,6.91991991991992,999,6.91991991991992
999,6.91791791791792,999,6.91791791791792
999,6.92392392392392,999,6.92392392392392
999,6.92292292292292,999,6.92292292292292
999,6.91591591591592,999,6.91591591591592
999,6.92592592592593,999,6.92592592592593
999,6.91991991991992,999,6.91991991991992
999,6.92492492492492,999,6.92492492492492
999,6.92892892892893,999,6.92892892892893
999,6.92892892892893,999,6.92892892892893
999,6.94294294294294,999,6.94294294294294
999,6.94994994994995,999,6.94994994994995
999,6.94994994994995,999,6.94994994994995
999,6.94694694694695,999,6.94694694694695
999,6.95895895895896,999,6.95895895895896
999,6.95695695695696,999,6.95695695695696
999,6.95395395395395,999,6.95395395395395
999,6.94894894894895,999,6.94894894894895
999,6.94094094094094,999,6.94094094094094
999,6.94294294294294,999,6.94294294294294
999,6.93993993993994,999,6.93993993993994
999,6.93293293293293,999,6.93293293293293
999,6.92692692692693,999,6.92692692692693
999,6.91791791791792,999,6.91791791791792
999,6.91491491491491,999,6.91491491491491
999,6.91291291291291,999,6.91291291291291
999,6.92192192192192,999,6.92192192192192
999,6.92292292292292,999,6.92292292292292
999,6.92792792792793,999,6.92792792792793
999,6.93093093093093,999,6.93093093093093
999,6.92692692692693,999,6.92692692692693
999,6.92792792792793,999,6.92792792792793
999,6.92692692692693,999,6.92692692692693
999,6.91591591591592,999,6.91591591591592
999,6.91491491491491,999,6.91491491491491
999,6.91391391391391,999,6.91391391391391
999,6.91491491491491,999,6.91491491491491
999,6.91391391391391,999,6.91391391391391
999,6.92992992992993,999,6.92992992992993
999,6.93293293293293,999,6.93293293293293
999,6.93693693693694,999,6.93693693693694
999,6.93193193193193,999,6.93193193193193
999,6.93593593593594,999,6.93593593593594
999,6.93893893893894,999,6.93893893893894
999,6.94594594594595,999,6.94594594594595
999,6.92992992992993,999,6.92992992992993
999,6.92292292292292,999,6.92292292292292
999,6.91491491491491,999,6.91491491491491
999,6.9019019019019,999,6.9019019019019
999,6.90890890890891,999,6.90890890890891
999,6.91991991991992,999,6.91991991991992
999,6.92292292292292,999,6.92292292292292
999,6.91891891891892,999,6.91891891891892
999,6.92392392392392,999,6.92392392392392
999,6.92292292292292,999,6.92292292292292
999,6.92592592592593,999,6.92592592592593
999,6.92492492492492,999,6.92492492492492
999,6.91491491491491,999,6.91491491491491
999,6.92092092092092,999,6.92092092092092
999,6.92892892892893,999,6.92892892892893
999,6.92792792792793,999,6.92792792792793
999,6.92692692692693,999,6.92692692692693
999,6.92992992992993,999,6.92992992992993
999,6.92892892892893,999,6.92892892892893
999,6.91891891891892,999,6.91891891891892
999,6.92892892892893,999,6.92892892892893
999,6.92292292292292,999,6.92292292292292
999,6.91591591591592,999,6.91591591591592
999,6.91991991991992,999,6.91991991991992
999,6.92592592592593,999,6.92592592592593
999,6.92992992992993,999,6.92992992992993
999,6.92992992992993,999,6.92992992992993
999,6.92092092092092,999,6.92092092092092
999,6.91991991991992,999,6.91991991991992
999,6.92792792792793,999,6.92792792792793
999,6.93493493493493,999,6.93493493493493
999,6.93793793793794,999,6.93793793793794
999,6.93393393393393,999,6.93393393393393
999,6.93093093093093,999,6.93093093093093
999,6.94194194194194,999,6.94194194194194
999,6.94594594594595,999,6.94594594594595
999,6.95595595595596,999,6.95595595595596
999,6.96196196196196,999,6.96196196196196
999,6.96596596596597,999,6.96596596596597
999,6.95395395395395,999,6.95395395395395
999,6.94894894894895,999,6.94894894894895
999,6.94794794794795,999,6.94794794794795
999,6.95195195195195,999,6.95195195195195
999,6.95395395395395,999,6.95395395395395
999,6.94794794794795,999,6.94794794794795
999,6.95595595595596,999,6.95595595595596
999,6.95795795795796,999,6.95795795795796
999,6.97297297297297,999,6.97297297297297
999,6.97897897897898,999,6.97897897897898
999,6.98398398398398,999,6.98398398398398
999,6.99299299299299,999,6.99299299299299
999,6.98598598598599,999,6.98598598598599
999,6.98398398398398,999,6.98398398398398
999,6.98098098098098,999,6.98098098098098
999,6.97797797797798,999,6.97797797797798
999,6.96796796796797,999,6.96796796796797
999,6.96896896896897,999,6.96896896896897
999,6.97597597597598,999,6.97597597597598
999,6.97197197197197,999,6.97197197197197
999,6.96996996996997,999,6.96996996996997
999,6.95795795795796,999,6.95795795795796
999,6.96096096096096,999,6.96096096096096
999,6.95995995995996,999,6.95995995995996
999,6.95295295295295,999,6.95295295295295
999,6.96696696696697,999,6.96696696696697
999,6.96396396396396,999,6.96396396396396
999,6.95695695695696,999,6.95695695695696
999,6.96196196196196,999,6.96196196196196
999,6.96596596596597,999,6.96596596596597
999,6.97097097097097,999,6.97097097097097
999,6.97197197197197,999,6.97197197197197
999,6.97197197197197,999,6.97197197197197
999,6.96396396396396,999,6.96396396396396
999,6.96096096096096,999,6.96096096096096
999,6.97397397397397,999,6.97397397397397
999,6.97097097097097,999,6.97097097097097
999,6.97997997997998,999,6.97997997997998
999,6.98998998998999,999,6.98998998998999
999,6.99499499499499,999,6.99499499499499
999,6.98598598598599,999,6.98598598598599
999,6.99199199199199,999,6.99199199199199
999,6.98898898898899,999,6.98898898898899
999,6.98498498498498,999,6.98498498498498
999,6.98898898898899,999,6.98898898898899
999,6.997997997998,999,6.997997997998
999,6.99499499499499,999,6.99499499499499
999,7.00600600600601,999,7.00600600600601
999,7.00600600600601,999,7.00600600600601
999,7.01701701701702,999,7.01701701701702
999,7.02802802802803,999,7.02802802802803
999,7.03203203203203,999,7.03203203203203
999,7.03703703703704,999,7.03703703703704
999,7.02802802802803,999,7.02802802802803
999,7.03403403403403,999,7.03403403403403
999,7.02602602602603,999,7.02602602602603
999,7.01401401401401,999,7.01401401401401
999,7.0,999,7.0
999,7.003003003003,999,7.003003003003
999,7.00500500500501,999,7.00500500500501
999,7.002002002002,999,7.002002002002
999,6.998998998999,999,6.998998998999
999,6.995995995996,999,6.995995995996
999,6.995995995996,999,6.995995995996
999,6.995995995996,999,6.995995995996
999,6.995995995996,999,6.995995995996
999,6.997997997998,999,6.997997997998
999,6.995995995996,999,6.995995995996
999,7.002002002002,999,7.002002002002
999,7.001001001001,999,7.001001001001
999,6.99399399399399,999,6.99399399399399
999,6.99399399399399,999,6.99399399399399
999,6.997997997998,999,6.997997997998
999,7.004004004004,999,7.004004004004
999,7.002002002002,999,7.002002002002
999,6.995995995996,999,6.995995995996
999,6.98798798798799,999,6.98798798798799
999,6.98498498498498,999,6.98498498498498
999,6.98598598598599,999,6.98598598598599
999,6.97897897897898,999,6.97897897897898
999,6.97497497497497,999,6.97497497497497
999,6.97897897897898,999,6.97897897897898
999,6.97497497497497,999,6.97497497497497
999,6.96496496496496,999,6.96496496496496
999,6.96896896896897,999,6.96896896896897
999,6.97397397397397,999,6.97397397397397
999,6.97297297297297,999,6.97297297297297
999,6.96196196196196,999,6.96196196196196
999,6.95795795795796,999,6.95795795795796
999,6.95995995995996,999,6.95995995995996
999,6.95395395395395,999,6.95395395395395
999,6.95495495495495,999,6.95495495495495
999,6.95995995995996,999,6.95995995995996
999,6.95995995995996,999,6.95995995995996
999,6.95795795795796,999,6.95795795795796
999,6.94994994994995,999,6.94994994994995
999,6.95095095095095,999,6.95095095095095
999,6.94794794794795,999,6.94794794794795
999,6.93793793793794,999,6.93793793793794
999,6.93393393393393,999,6.93393393393393
999,6.91791791791792,999,6.91791791791792
999,6.91891891891892,999,6.91891891891892
999,6.90790790790791,999,6.90790790790791
999,6.91491491491491,999,6.91491491491491
999,6.91091091091091,999,6.91091091091091
999,6.91491491491491,999,6.91491491491491
999,6.91991991991992,999,6.91991991991992
999,6.92692692692693,999,6.92692692692693
999,6.92792792792793,999,6.92792792792793
999,6.93093093093093,999,6.93093093093093
999,6.93593593593594,999,6.93593593593594
999,6.93993993993994,999,6.93993993993994
999,6.94194194194194,999,6.94194194194194
999,6.94394394394394,999,6.94394394394394
999,6.95195195195195,999,6.95195195195195
999,6.95995995995996,999,6.95995995995996
999,6.96196196196196,999,6.96196196196196
999,6.96096096096096,999,6.96096096096096
999,6.95795795795796,999,6.95795795795796
999,6.96996996996997,999,6.96996996996997
999,6.98198198198198,999,6.98198198198198
999,6.98198198198198,999,6.98198198198198
999,6.98098098098098,999,6.98098098098098
999,6.96196196196196,999,6.96196196196196
999,6.96196196196196,999,6.96196196196196
999,6.96796796796797,999,6.96796796796797
999,6.96096096096096,999,6.96096096096096
999,6.96196196196196,999,6.96196196196196
999,6.94894894894895,999,6.94894894894895
999,6.95495495495495,999,6.95495495495495
999,6.94794794794795,999,6.94794794794795
999,6.96496496496496,999,6.96496496496496
999,6.96496496496496,999,6.96496496496496
999,6.96696696696697,999,6.96696696696697
999,6.96396396396396,999,6.96396396396396
999,6.94894894894895,999,6.94894894894895
999,6.94494494494494,999,6.94494494494494
999,6.93393393393393,999,6.93393393393393
999,6.93793793793794,999,6.93793793793794
999,6.93793793793794,999,6.93793793793794
999,6.93193193193193,999,6.93193193193193
999,6.93493493493493,999,6.93493493493493
999,6.93093093093093,999,6.93093093093093
999,6.92792792792793,999,6.92792792792793
999,6.92792792792793,999,6.92792792792793
999,6.92792792792793,999,6.92792792792793
999,6.93293293293293,999,6.93293293293293
999,6.92592592592593,999,6.92592592592593
999,6.92392392392392,999,6.92392392392392
999,6.93093093093093,999,6.93093093093093
999,6.93793793793794,999,6.93793793793794
999,6.93693693693694,999,6.93693693693694
999,6.92992992992993,999,6.92992992992993
999,6.93493493493493,999,6.93493493493493
999,6.92892892892893,999,6.92892892892893
999,6.92392392392392,999,6.92392392392392
999,6.91891891891892,999,6.91891891891892
999,6.91791791791792,999,6.91791791791792
999,6.91691691691692,999,6.91691691691692
999,6.90890890890891,999,6.90890890890891
999,6.9049049049049,999,6.9049049049049
999,6.91391391391391,999,6.91391391391391
999,6.9039039039039,999,6.9039039039039
999,6.90890890890891,999,6.90890890890891
999,6.90590590590591,999,6.90590590590591
999,6.90890890890891,999,6.90890890890891
999,6.9039039039039,999,6.9039039039039
999,6.90590590590591,999,6.90590590590591
999,6.9019019019019,999,6.9019019019019
999,6.90790790790791,999,6.90790790790791
999,6.9049049049049,999,6.9049049049049
999,6.91691691691692,999,6.91691691691692
999,6.91291291291291,999,6.91291291291291
999,6.91591591591592,999,6.91591591591592
999,6.92692692692693,999,6.92692692692693
999,6.93293293293293,999,6.93293293293293
999,6.93593593593594,999,6.93593593593594
999,6.93693693693694,999,6.93693693693694
999,6.93193193193193,999,6.93193193193193
999,6.94394394394394,999,6.94394394394394
999,6.94894894894895,999,6.94894894894895
999,6.95095095095095,999,6.95095095095095
999,6.94694694694695,999,6.94694694694695
999,6.93693693693694,999,6.93693693693694
999,6.92992992992993,999,6.92992992992993
999,6.93793793793794,999,6.93793793793794
999,6.94494494494494,999,6.94494494494494
999,6.93293293293293,999,6.93293293293293
999,6.93893893893894,999,6.93893893893894
999,6.93993993993994,999,6.93993993993994
999,6.94694694694695,999,6.94694694694695
999,6.94094094094094,999,6.94094094094094
999,6.93993993993994,999,6.93993993993994
999,6.93393393393393,999,6.93393393393393
999,6.91791791791792,999,6.91791791791792
999,6.92592592592593,999,6.92592592592593
999,6.93393393393393,999,6.93393393393393
999,6.93593593593594,999,6.93593593593594
999,6.92792792792793,999,6.92792792792793
999,6.93393393393393,999,6.93393393393393
999,6.92892892892893,999,6.92892892892893
999,6.92792792792793,999,6.92792792792793
999,6.92592592592593,999,6.92592592592593
999,6.93293293293293,999,6.93293293293293
999,6.93993993993994,999,6.93993993993994
999,6.94094094094094,999,6.94094094094094
999,6.94794794794795,999,6.94794794794795
999,6.95195195195195,999,6.95195195195195
999,6.93793793793794,999,6.93793793793794
999,6.94794794794795,999,6.94794794794795
999,6.95195195195195,999,6.95195195195195
999,6.95095095095095,999,6.95095095095095
999,6.96896896896897,999,6.96896896896897
999,6.95995995995996,999,6.95995995995996
999,6.96196196196196,999,6.96196196196196
999,6.95995995995996,999,6.95995995995996
999,6.95695695695696,999,6.95695695695696
999,6.95695695695696,999,6.95695695695696
999,6.94994994994995,999,6.94994994994995
999,6.94694694694695,999,6.94694694694695
999,6.94594594594595,999,6.94594594594595
999,6.95595595595596,999,6.95595595595596
999,6.96396396396396,999,6.96396396396396
999,6.96796796796797,999,6.96796796796797
999,6.96196196196196,999,6.96196196196196
999,6.96196196196196,999,6.96196196196196
999,6.96696696696697,999,6.96696696696697
999,6.97297297297297,999,6.97297297297297
999,6.96296296296296,999,6.96296296296296
999,6.95795795795796,999,6.95795795795796
999,6.96596596596597,999,6.96596596596597
999,6.96496496496496,999,6.96496496496496
999,6.97597597597598,999,6.97597597597598
999,6.98698698698699,999,6.98698698698699
999,6.99399399399399,999,6.99399399399399
999,6.98798798798799,999,6.98798798798799
999,6.98898898898899,999,6.98898898898899
999,6.995995995996,999,6.995995995996
999,6.997997997998,999,6.997997997998
999,6.99199199199199,999,6.99199199199199
999,7.0,999,7.0
999,6.995995995996,999,6.995995995996
999,6.99199199199199,999,6.99199199199199
999,6.99099099099099,999,6.99099099099099
999,6.98298298298298,999,6.98298298298298
999,6.97597597597598,999,6.97597597597598
999,6.96796796796797,999,6.96796796796797
999,6.97297297297297,999,6.97297297297297
999,6.98598598598599,999,6.98598598598599
999,6.98098098098098,999,6.98098098098098
999,6.96996996996997,999,6.96996996996997
999,6.97697697697698,999,6.97697697697698
999,6.98898898898899,999,6.98898898898899
999,6.99199199199199,999,6.99199199199199
999,6.99299299299299,999,6.99299299299299
999,6.98098098098098,999,6.98098098098098
999,6.97997997997998,999,6.97997997997998
999,6.98298298298298,999,6.98298298298298
999,6.99299299299299,999,6.99299299299299
999,6.98198198198198,999,6.98198198198198
999,6.99099099099099,999,6.99099099099099
999,6.99499499499499,999,6.99499499499499
999,6.99199199199199,999,6.99199199199199
999,6.998998998999,999,6.998998998999
999,6.98998998998999,999,6.98998998998999
999,6.98698698698699,999,6.98698698698699
999,6.98998998998999,999,6.98998998998999
999,6.99499499499499,999,6.99499499499499
999,7.001001001001,999,7.001001001001
999,6.98998998998999,999,6.98998998998999
999,6.98498498498498,999,6.98498498498498
999,6.98398398398398,999,6.98398398398398
999,6.98198198198198,999,6.98198198198198
999,6.96996996996997,999,6.96996996996997
999,6.96696696696697,999,6.96696696696697
999,6.97897897897898,999,6.97897897897898
999,6.97597597597598,999,6.97597597597598
999,6.97897897897898,999,6.97897897897898
999,6.98098098098098,999,6.98098098098098
999,6.97297297297297,999,6.97297297297297
999,6.98898898898899,999,6.98898898898899
999,6.98598598598599,999,6.98598598598599
999,7.001001001001,999,7.001001001001
999,6.99299299299299,999,6.99299299299299
999,6.98798798798799,999,6.98798798798799
999,6.99299299299299,999,6.99299299299299
999,6.996996996997,999,6.996996996997
999,7.01401401401401,999,7.01401401401401
999,7.00500500500501,999,7.00500500500501
999,7.00900900900901,999,7.00900900900901
999,7.001001001001,999,7.001001001001
999,7.00500500500501,999,7.00500500500501
999,7.01501501501502,999,7.01501501501502
999,7.00500500500501,999,7.00500500500501
999,7.00900900900901,999,7.00900900900901
999,7.01301301301301,999,7.01301301301301
999,7.004004004004,999,7.004004004004
999,7.00500500500501,999,7.00500500500501
999,7.0,999,7.0
999,7.01201201201201,999,7.01201201201201
999,7.01101101101101,999,7.01101101101101
999,7.00700700700701,999,7.00700700700701
999,6.998998998999,999,6.998998998999
999,7.00500500500501,999,7.00500500500501
999,7.0,999,7.0
999,7.004004004004,999,7.004004004004
999,6.99499499499499,999,6.99499499499499
999,7.01001001001001,999,7.01001001001001
999,7.003003003003,999,7.003003003003
999,7.01801801801802,999,7.01801801801802
999,7.02102102102102,999,7.02102102102102
999,7.01801801801802,999,7.01801801801802
999,7.01601601601602,999,7.01601601601602
999,7.01501501501502,999,7.01501501501502
999,7.00700700700701,999,7.00700700700701
999,7.01301301301301,999,7.01301301301301
999,7.01601601601602,999,7.01601601601602
999,7.00700700700701,999,7.00700700700701
999,7.003003003003,999,7.003003003003
999,6.99499499499499,999,6.99499499499499
999,6.99399399399399,999,6.99399399399399
999,6.99199199199199,999,6.99199199199199
999,6.98698698698699,999,6.98698698698699
999,7.004004004004,999,7.004004004004
999,6.98898898898899,999,6.98898898898899
999,6.98998998998999,999,6.98998998998999
999,7.003003003003,999,7.003003003003
999,7.00900900900901,999,7.00900900900901
999,7.01101101101101,999,7.01101101101101
999,7.003003003003,999,7.003003003003
999,6.99399399399399,999,6.99399399399399
999,6.99199199199199,999,6.99199199199199
999,6.98298298298298,999,6.98298298298298
999,6.99299299299299,999,6.99299299299299
999,6.98498498498498,999,6.98498498498498
999,6.99499499499499,999,6.99499499499499
999,6.98298298298298,999,6.98298298298298
999,6.98298298298298,999,6.98298298298298
999,6.99499499499499,999,6.99499499499499
999,6.998998998999,999,6.998998998999
999,6.98898898898899,999,6.98898898898899
999,6.997997997998,999,6.997997997998
999,6.99199199199199,999,6.99199199199199
999,6.98798798798799,999,6.98798798798799
999,6.98198198198198,999,6.98198198198198
999,6.97997997997998,999,6.97997997997998
999,6.98398398398398,999,6.98398398398398
999,6.98598598598599,999,6.98598598598599
999,6.98398398398398,999,6.98398398398398
999,6.97497497497497,999,6.97497497497497
999,6.97397397397397,999,6.97397397397397
999,6.97397397397397,999,6.97397397397397
999,6.97097097097097,999,6.97097097097097
999,6.97097097097097,999,6.97097097097097
999,6.96896896896897,999,6.96896896896897
999,6.98298298298298,999,6.98298298298298
999,6.98498498498498,999,6.98498498498498
999,6.99399399399399,999,6.99399399399399
999,6.99299299299299,999,6.99299299299299
999,6.98598598598599,999,6.98598598598599
999,6.98298298298298,999,6.98298298298298
999,6.97297297297297,999,6.97297297297297
999,6.97697697697698,999,6.97697697697698
999,6.97697697697698,999,6.97697697697698
999,6.97297297297297,999,6.97297297297297
999,6.98598598598599,999,6.98598598598599
999,6.97697697697698,999,6.97697697697698
999,6.96996996996997,999,6.96996996996997
999,6.96996996996997,999,6.96996996996997
999,6.96996996996997,999,6.96996996996997
999,6.96896896896897,999,6.96896896896897
999,6.97097097097097,999,6.97097097097097
999,6.97097097097097,999,6.97097097097097
999,6.96496496496496,999,6.96496496496496
999,6.96796796796797,999,6.96796796796797
999,6.97397397397397,999,6.97397397397397
999,6.96796796796797,999,6.96796796796797
999,6.97497497497497,999,6.97497497497497
999,6.96996996996997,999,6.96996996996997
999,6.97397397397397,999,6.97397397397397
999,6.97897897897898,999,6.97897897897898
999,6.98698698698699,999,6.98698698698699
999,6.98098098098098,999,6.98098098098098
999,6.98398398398398,999,6.98398398398398
999,6.97297297297297,999,6.97297297297297
999,6.97597597597598,999,6.97597597597598
999,6.97297297297297,999,6.97297297297297
999,6.97397397397397,999,6.97397397397397
999,6.96996996996997,999,6.96996996996997
999,6.96196196196196,999,6.96196196196196
999,6.95095095095095,999,6.95095095095095
999,6.94994994994995,999,6.94994994994995
999,6.95595595595596,999,6.95595595595596
999,6.94994994994995,999,6.94994994994995
999,6.94494494494494,999,6.94494494494494
999,6.94394394394394,999,6.94394394394394
999,6.94694694694695,999,6.94694694694695
999,6.93493493493493,999,6.93493493493493
999,6.93293293293293,999,6.93293293293293
999,6.92692692692693,999,6.92692692692693
999,6.91791791791792,999,6.91791791791792
999,6.92592592592593,999,6.92592592592593
999,6.91891891891892,999,6.91891891891892
999,6.92592592592593,999,6.92592592592593
999,6.92792792792793,999,6.92792792792793
999,6.92892892892893,999,6.92892892892893
999,6.92992992992993,999,6.92992992992993
999,6.92692692692693,999,6.92692692692693
999,6.92892892892893,999,6.92892892892893
999,6.93193193193193,999,6.93193193193193
999,6.92692692692693,999,6.92692692692693
999,6.93293293293293,999,6.93293293293293
999,6.93293293293293,999,6.93293293293293
999,6.93293293293293,999,6.93293293293293
999,6.93793793793794,999,6.93793793793794
999,6.94094094094094,999,6.94094094094094
999,6.94894894894895,999,6.94894894894895
999,6.93893893893894,999,6.93893893893894
999,6.94294294294294,999,6.94294294294294
999,6.94694694694695,999,6.94694694694695
999,6.94494494494494,999,6.94494494494494
999,6.94794794794795,999,6.94794794794795
999,6.96196196196196,999,6.96196196196196
999,6.96296296296296,999,6.96296296296296
999,6.96996996996997,999,6.96996996996997
999,6.96896896896897,999,6.96896896896897
999,6.95995995995996,999,6.95995995995996
999,6.95995995995996,999,6.95995995995996
999,6.96096096096096,999,6.96096096096096
999,6.96196196196196,999,6.96196196196196
999,6.95395395395395,999,6.95395395395395
999,6.94494494494494,999,6.94494494494494
999,6.94994994994995,999,6.94994994994995
999,6.95695695695696,999,6.95695695695696
999,6.95895895895896,999,6.95895895895896
999,6.96296296296296,999,6.96296296296296
999,6.96796796796797,999,6.96796796796797
999,6.96496496496496,999,6.96496496496496
999,6.96296296296296,999,6.96296296296296
999,6.94694694694695,999,6.94694694694695
999,6.95395395395395,999,6.95395395395395
999,6.95195195195195,999,6.95195195195195
999,6.96296296296296,999,6.96296296296296
999,6.97197197197197,999,6.97197197197197
999,6.97097097097097,999,6.97097097097097
999,6.96996996996997,999,6.96996996996997
999,6.96796796796797,999,6.96796796796797
999,6.96596596596597,999,6.96596596596597
999,6.97097097097097,999,6.97097097097097
999,6.97497497497497,999,6.97497497497497
999,6.96996996996997,999,6.96996996996997
999,6.96596596596597,999,6.96596596596597
999,6.95995995995996,999,6.95995995995996
999,6.95195195195195,999,6.95195195195195
999,6.94394394394394,999,6.94394394394394
999,6.93393393393393,999,6.93393393393393
999,6.94094094094094,999,6.94094094094094
999,6.93593593593594,999,6.93593593593594
999,6.93793793793794,999,6.93793793793794
999,6.93993993993994,999,6.93993993993994
999,6.94194194194194,999,6.94194194194194
999,6.93193193193193,999,6.93193193193193
999,6.94394394394394,999,6.94394394394394
999,6.94394394394394,999,6.94394394394394
999,6.94194194194194,999,6.94194194194194
999,6.94094094094094,999,6.94094094094094
999,6.94094094094094,999,6.94094094094094
999,6.93693693693694,999,6.93693693693694
999,6.93993993993994,999,6.93993993993994
999,6.92992992992993,999,6.92992992992993
999,6.95495495495495,999,6.95495495495495
999,6.95195195195195,999,6.95195195195195
999,6.96096096096096,999,6.96096096096096
999,6.97097097097097,999,6.97097097097097
999,6.97397397397397,999,6.97397397397397
999,6.96396396396396,999,6.96396396396396
999,6.97297297297297,999,6.97297297297297
999,6.97397397397397,999,6.97397397397397
999,6.98198198198198,999,6.98198198198198
999,6.97897897897898,999,6.97897897897898
999,6.97697697697698,999,6.97697697697698
999,6.97497497497497,999,6.97497497497497
999,6.96896896896897,999,6.96896896896897
999,6.96696696696697,999,6.96696696696697
999,6.96796796796797,999,6.96796796796797
999,6.95495495495495,999,6.95495495495495
999,6.94794794794795,999,6.94794794794795
999,6.94394394394394,999,6.94394394394394
999,6.94994994994995,999,6.94994994994995
999,6.94494494494494,999,6.94494494494494
999,6.93893893893894,999,6.93893893893894
999,6.93393393393393,999,6.93393393393393
999,6.93293293293293,999,6.93293293293293
999,6.92392392392392,999,6.92392392392392
999,6.91891891891892,999,6.91891891891892
999,6.92992992992993,999,6.92992992992993
999,6.92792792792793,999,6.92792792792793
999,6.93793793793794,999,6.93793793793794
999,6.93893893893894,999,6.93893893893894
999,6.94494494494494,999,6.94494494494494
999,6.94894894894895,999,6.94894894894895
999,6.94594594594595,999,6.94594594594595
999,6.94694694694695,999,6.94694694694695
999,6.94494494494494,999,6.94494494494494
999,6.94994994994995,999,6.94994994994995
999,6.94994994994995,999,6.94994994994995
999,6.95695695695696,999,6.95695695695696
999,6.95895895895896,999,6.95895895895896
999,6.95795795795796,999,6.95795795795796
999,6.95195195195195,999,6.95195195195195
999,6.93793793793794,999,6.93793793793794
999,6.93893893893894,999,6.93893893893894
999,6.95295295295295,999,6.95295295295295
999,6.94894894894895,999,6.94894894894895
999,6.94994994994995,999,6.94994994994995
999,6.95195195195195,999,6.95195195195195
999,6.93893893893894,999,6.93893893893894
999,6.93693693693694,999,6.93693693693694
999,6.92592592592593,999,6.92592592592593
999,6.91791791791792,999,6.91791791791792
999,6.92492492492492,999,6.92492492492492
999,6.92492492492492,999,6.92492492492492
999,6.92692692692693,999,6.92692692692693
999,6.92792792792793,999,6.92792792792793
999,6.92592592592593,999,6.92592592592593
999,6.92692692692693,999,6.92692692692693
999,6.92292292292292,999,6.92292292292292
999,6.92992992992993,999,6.92992992992993
999,6.92292292292292,999,6.92292292292292
999,6.92592592592593,999,6.92592592592593
999,6.91891891891892,999,6.91891891891892
999,6.92092092092092,999,6.92092092092092
999,6.92792792792793,999,6.92792792792793
999,6.92992992992993,999,6.92992992992993
999,6.92692692692693,999,6.92692692692693
999,6.93193193193193,999,6.93193193193193
999,6.92692692692693,999,6.92692692692693
999,6.92692692692693,999,6.92692692692693
999,6.93293293293293,999,6.93293293293293
999,6.93293293293293,999,6.93293293293293
999,6.92892892892893,999,6.92892892892893
999,6.92792792792793,999,6.92792792792793
999,6.92892892892893,999,6.92892892892893
999,6.92092092092092,999,6.92092092092092
999,6.92492492492492,999,6.92492492492492
999,6.91691691691692,999,6.91691691691692
999,6.91091091091091,999,6.91091091091091
999,6.90690690690691,999,6.90690690690691
999,6.90990990990991,999,6.90990990990991
999,6.91691691691692,999,6.91691691691692
999,6.90990990990991,999,6.90990990990991
999,6.9039039039039,999,6.9039039039039
999,6.9029029029029,999,6.9029029029029
999,6.91691691691692,999,6.91691691691692
999,6.92592592592593,999,6.92592592592593
999,6.92192192192192,999,6.92192192192192
999,6.90590590590591,999,6.90590590590591
999,6.90990990990991,999,6.90990990990991
999,6.90790790790791,999,6.90790790790791
999,6.90690690690691,999,6.90690690690691
999,6.90890890890891,999,6.90890890890891
999,6.91191191191191,999,6.91191191191191
999,6.90990990990991,999,6.90990990990991
999,6.90790790790791,999,6.90790790790791
999,6.91091091091091,999,6.91091091091091
999,6.90590590590591,999,6.90590590590591
999,6.8958958958959,999,6.8958958958959
999,6.8958958958959,999,6.8958958958959
999,6.89389389389389,999,6.89389389389389
999,6.88288288288288,999,6.88288288288288
999,6.88588588588589,999,6.88588588588589
999,6.88288288288288,999,6.88288288288288
999,6.86586586586587,999,6.86586586586587
999,6.85785785785786,999,6.85785785785786
999,6.86486486486486,999,6.86486486486486
999,6.85885885885886,999,6.85885885885886
999,6.86286286286286,999,6.86286286286286
999,6.86486486486486,999,6.86486486486486
999,6.86786786786787,999,6.86786786786787
999,6.87187187187187,999,6.87187187187187
999,6.87587587587588,999,6.87587587587588
999,6.87787787787788,999,6.87787787787788
999,6.8988988988989,999,6.8988988988989
999,6.9039039039039,999,6.9039039039039
999,6.9049049049049,999,6.9049049049049
999,6.9049049049049,999,6.9049049049049
999,6.8958958958959,999,6.8958958958959
999,6.8968968968969,999,6.8968968968969
